,AGENT.ID_x,ClientID,AGENT.ID_y
75,19162,69,21096
518,17840,416,7004
639,27999,513,25296
803,12997,641,26267
876,9526,691,11631
952,20053,747,25393
1116,28120,875,30427
1256,15044,1000,10036
1267,4325,1008,11348
1331,11618,1058,6510
1565,16483,1256,7004
1644,11062,1317,23623
1811,23267,1450,6569
2044,6251,1634,14318
2199,8410,1756,30621
2253,5029,1795,2766
2476,11082,1988,28106
2647,30854,2133,14590
2668,14144,2151,18023
3060,3612,2469,8556
3159,21106,2556,25637
3282,12004,2661,26955
3374,16783,2743,19296
3409,9233,2768,14135
3518,14493,2845,12976
3567,298,2885,25606
3617,19489,2923,26434
3634,3558,2937,18195
3776,20932,3037,18408
3812,28120,3060,30427
3836,19599,3081,22589
3859,18100,3096,25252
3871,16483,3102,7004
3948,21143,3167,25641
4299,15725,3464,18320
4491,11441,3617,12498
4517,19941,3640,343
4545,7994,3659,14297
4642,14145,3738,28131
4935,28068,3971,30427
5021,18080,4027,23838
5045,19741,4045,30621
5063,3048,4060,1586
5194,30292,4175,23623
5231,13028,4202,23623
5241,30731,4206,26126
5286,17646,4239,14023
5348,14506,4289,151
5824,22026,4693,1671
6018,10674,4852,15270
6044,21626,4862,7004
6166,19489,4951,24616
6332,30621,5089,23944
6424,19003,5165,18356
6522,21624,5245,23944
6564,12625,5281,14520
6587,21276,5301,30292
6682,14867,5375,24377
6778,21254,5451,14135
7093,20868,5700,1665
7106,19730,5709,16060
7161,4730,5748,15270
7507,19994,6043,5364
7520,22859,6048,26918
7592,19321,6102,24524
7653,6392,6145,24523
7696,10149,6179,21662
7885,27539,6331,1177
7918,14145,6361,14842
7949,18296,6386,23441
7972,21548,6400,10761
7987,18219,6409,4885
8104,15959,6499,26666
8279,17586,6626,14881
8347,15398,6679,18030
8392,31163,6715,13943
8430,7331,6744,17714
8496,21419,6800,24377
8579,20449,6864,25393
8637,31215,6907,6277
8704,16345,6961,3715
8890,21105,7101,24597
8915,10139,7120,13716
8941,21446,7140,27710
8984,9060,7174,24427
8997,15169,7183,8464
9018,16602,7190,30621
9040,19250,7203,30292
9174,21240,7314,25163
9192,21856,7325,7004
9482,10293,7569,11527
9612,1736,7675,24095
9900,17135,7918,22140
10054,1738,8054,27677
10067,20892,8064,25637
10160,15661,8139,12498
10246,16602,8207,19323
10357,16555,8303,8556
10443,2790,8366,25305
10448,19731,8368,25491
10486,16558,8396,25403
10516,19731,8419,5457
10538,21985,8434,16351
10550,14143,8439,18023
10619,1252,8491,18700
10905,18415,8711,6006
10965,15879,8761,19704
10982,12741,8771,7661
11001,10231,8782,22721
11080,17393,8846,30427
11199,16024,8935,24518
11368,20175,9079,6977
11483,18117,9172,25801
11514,16555,9197,24095
11524,19004,9201,25637
11546,17393,9214,30427
11683,20891,9330,31249
11832,17700,9443,23944
11968,29920,9527,5075
12111,19574,9648,9104
12184,21124,9696,14630
12244,12959,9743,6510
12260,29084,9748,18356
12316,3206,9793,8409
12354,361,9828,13450
12364,28827,9835,29054
12691,23944,10104,17700
12771,10645,10168,22953
12887,6294,10269,23970
12966,6270,10324,10681
13187,3646,10506,25163
13265,19161,10562,24095
13304,30584,10579,27066
13316,28473,10588,8986
13617,16116,10838,26350
13687,9326,10892,30292
13698,18851,10896,26434
13960,13990,11101,14842
13967,858,11105,6510
13983,15429,11115,23589
14049,13172,11166,3890
14216,16602,11291,23944
14227,4374,11294,15615
14331,28210,11385,18700
14452,15974,11475,19710
14547,20778,11538,12325
14658,16555,11630,30292
14715,20994,11673,26995
14745,18434,11696,6510
14926,1115,11853,2186
15086,13840,11980,8556
15140,18967,12025,16312
15232,13587,12099,12313
15577,1736,12402,6510
15647,20245,12456,24095
15688,18944,12487,15149
15737,19294,12524,14117
15862,17614,12622,11015
15917,16783,12665,25333
16090,19267,12805,26096
16145,16483,12845,21856
16156,29787,12853,25610
16347,21990,13014,23970
16547,31216,13157,14297
16907,16936,13454,25610
17202,15687,13698,24924
17231,17148,13724,21212
17338,16483,13804,7004
17351,19742,13811,7004
17430,13207,13878,30295
17464,28109,13900,6569
17524,14768,13954,2420
17747,18023,14138,24924
18054,28069,14391,15083
18146,19538,14462,18865
18221,11974,14525,24794
18441,15169,14696,25272
18569,18356,14798,8556
18581,14971,14803,6140
18613,14077,14832,24492
18671,13759,14872,17208
18834,22218,15008,26543
18979,4885,15125,6098
19010,20515,15149,18023
19134,9464,15258,21553
19263,21352,15363,1596
19394,15086,15464,28025
19861,16483,15844,21856
19911,21127,15885,4653
19930,23241,15897,12884
20023,19731,15974,15169
20181,19859,16100,10662
20272,15974,16173,10149
20362,19105,16248,18631
20520,17166,16373,20903
20631,23944,16459,17700
20656,15243,16474,26267
20692,9733,16504,25315
20727,21311,16531,8556
20838,31142,16610,14935
20881,15974,16644,24377
20985,17393,16721,28210
21003,20778,16733,26360
21008,12189,16735,8556
21023,18434,16744,2833
21054,9983,16764,20972
21078,18533,16785,18865
21104,13682,16803,11462
21226,15768,16892,22555
21244,12258,16904,24004
21312,18945,16954,6510
21417,17623,17035,2445
21522,983,17125,10662
21629,17586,17205,8844
21701,18435,17265,27517
21795,14292,17338,9104
22008,19537,17509,28806
22016,10270,17514,15142
22285,19536,17744,18700
22359,20552,17809,26868
22366,7690,17813,25393
22465,3535,17885,26434
22722,19791,18097,22908
22887,15398,18223,8556
22895,9062,18227,24828
22926,16483,18248,21856
22988,30650,18297,23944
23212,21626,18469,14190
23234,21465,18482,9104
23281,11618,18511,15270
23330,18731,18538,967
23430,18221,18612,19514
23550,3731,18699,28006
23768,15086,18874,17278
23798,20552,18894,16510
23957,16602,19020,30621
24127,11439,19154,14971
24144,31214,19168,5024
24292,16684,19289,21603
24342,14143,19333,18023
24405,13965,19384,23175
24535,15789,19490,22850
24551,19008,19500,17700
24724,5252,19628,22455
25028,16927,19878,8315
25122,19536,19945,28210
25368,4711,20138,25939
25388,7588,20155,25333
25572,23614,20299,23944
25784,13886,20465,18744
25903,17587,20554,26695
26098,16923,20710,26687
26356,3541,20911,13944
26370,15646,20922,2485
26546,9204,21071,29094
26688,18499,21180,27133
26765,14144,21237,1163
26782,16296,21251,11950
26827,3064,21281,6814
26870,3731,21318,8401
27027,13692,21442,30215
27327,28120,21685,30427
27336,2466,21691,5176
27416,1736,21748,10268
27443,18434,21767,24095
27495,17810,21805,29054
27786,19538,22037,18356
28037,1895,22238,22757
28114,19489,22294,6605
28261,4994,22408,24985
28353,4746,22479,14594
28749,17700,22791,4833
28785,14971,22821,23662
28973,10773,22967,11164
29013,12084,22998,12824
29035,9158,23014,20578
29039,1736,23015,24095
29173,17840,23123,4017
29324,5694,23244,21553
29529,28109,23389,6569
29753,21268,23574,25163
29770,22132,23588,10268
30279,14918,24010,25801
30346,15780,24059,24377
30524,11902,24207,25910
30594,14734,24259,20823
30780,30646,24415,17208
31224,8506,24772,1237
31373,20397,24894,25789
31411,10674,24923,24095
31572,7126,25054,14935
31654,19321,25118,8556
31791,19574,25237,27300
31858,2413,25292,25076
32024,11715,25417,20842
32028,14333,25418,15467
32131,21837,25512,27243
32294,19275,25642,14146
32484,6008,25801,25252
32625,30621,25907,24975
32664,22800,25930,30427
32690,18623,25953,18356
32708,9238,25968,21603
32907,14842,26121,23919
32916,15198,26123,4266
32969,22799,26169,27141
33011,7331,26198,3012
33043,27588,26227,25637
33124,12997,26293,25156
33241,17232,26389,26267
33426,1887,26541,23754
33518,18133,26612,27141
33641,8335,26720,26257
33648,10622,26724,30427
33667,2712,26735,3663
33727,19008,26786,24887
34129,15044,27122,12883
34254,22290,27223,30292
34425,17658,27356,20842
34431,12344,27359,10048
34539,14648,27449,25326
34660,78,27546,23623
34838,1722,27699,11659
34866,10937,27717,17818
34968,9238,27798,26543
35189,5830,27986,3713
35309,10601,28085,21185
35553,24555,28295,26579
35561,15855,28296,30661
35660,20945,28380,2214
35764,19004,28463,24004
35803,2833,28488,18865
35970,21572,28612,8556
35996,18184,28628,4242
36368,11820,28931,19028
36394,1736,28954,10268
36607,15761,29125,17278
36659,17390,29158,26571
36777,13738,29245,1722
36974,19739,29403,22805
37080,17940,29491,6605
37340,14571,29703,15249
37457,12858,29793,18159
37493,7988,29820,15395
37554,19521,29875,30292
37622,9647,29926,23623
37794,13021,30057,22124
37890,8410,30144,24706
38025,16240,30242,24377
38155,17700,30343,30621
38165,2798,30345,19626
38169,17700,30346,30621
38221,11308,30387,30439
38225,17614,30388,24414
38246,16858,30406,24721
38323,9972,30471,14971
38611,8372,30720,27532
38668,29155,30765,5552
38832,16442,30899,25801
39098,19640,31109,12242
39150,14333,31147,28105
39409,18874,31358,25491
39490,17075,31427,10048
39794,4026,31671,12883
39839,11479,31710,10298
39889,19640,31751,21020
39907,19123,31766,8646
39985,4262,31820,25142
40062,21124,31881,14630
40151,29444,31948,14117
40281,3206,32048,15169
40345,19536,32094,20930
40383,4663,32124,25710
40515,15933,32226,26124
40757,4662,32435,22555
41016,16558,32642,25272
41039,9326,32657,18700
41102,10885,32704,25367
41315,18219,32880,21662
41609,22600,33122,12498
41782,8410,33271,19323
41845,10724,33319,14135
41976,21053,33426,30621
42255,18478,33636,14739
42260,19049,33638,23208
42286,21152,33658,24924
42398,16602,33755,23944
42431,14029,33785,26696
42449,13834,33800,18700
42559,5292,33892,9375
42734,18415,34025,13493
42769,16602,34054,17700
42888,24095,34145,17278
42980,1927,34218,368
43195,14569,34380,24975
43782,16602,34883,30621
43845,18218,34928,23826
43981,5267,35043,8556
44354,8579,35353,27517
44407,1237,35393,24828
44533,19416,35484,10494
44627,21837,35560,26644
44753,20788,35671,13527
44890,18537,35784,4242
44906,29982,35797,21110
44996,11257,35863,1791
45082,21051,35935,30292
45191,13826,36017,23969
45341,16554,36137,11950
45361,18843,36151,22601
45365,15768,36152,18356
45438,12726,36213,4856
45491,13781,36254,6868
45496,19288,36256,11390
45546,15768,36297,21662
45634,5192,36370,22780
46194,15243,36804,7342
46248,12520,36846,24905
46336,4343,36916,14420
46526,8147,37070,25393
46560,18537,37092,27216
46602,19489,37131,20257
46714,15974,37222,25370
46786,16684,37288,21603
46961,18464,37424,23699
47076,1447,37523,29054
47247,20428,37654,25393
47300,8464,37697,28788
47430,7832,37805,26689
47454,18841,37818,26712
47757,21622,38068,28788
47762,20235,38070,2757
47777,21334,38079,25631
47800,16483,38096,28006
47837,8398,38130,6605
47847,4,38137,30292
47995,10139,38249,17566
48035,8464,38286,2300
48050,28189,38298,27522
48056,21064,38301,14117
48215,1736,38433,24095
48614,14029,38734,25163
48911,4183,38980,24486
48991,31286,39042,22990
49062,2760,39095,12611
49146,7865,39167,18118
49214,21633,39223,25333
49229,4208,39235,16041
49361,1237,39348,3288
49509,18434,39462,6510
50017,10377,39877,24616
50106,2477,39954,11533
50116,30385,39961,23327
50181,17146,40020,14740
50200,19536,40033,18700
50631,20718,40386,25466
50655,16206,40399,24377
50685,20668,40420,17278
50697,17258,40426,30657
50860,23100,40552,22881
50875,16594,40560,16985
50988,11547,40637,25393
51066,19731,40700,15169
51108,19742,40733,25557
51245,21042,40846,26981
51271,18356,40862,18700
51331,17543,40903,10268
51497,3938,41039,1793
51751,21533,41245,3288
52010,9911,41448,9245
52095,16768,41512,14842
52127,8102,41541,19689
52135,30495,41543,24241
52444,22332,41795,12379
52612,2477,41930,26969
52921,16442,42182,21603
53534,17646,42675,22543
53577,1271,42703,19805
53680,19730,42784,10268
53751,20466,42839,29696
54238,6907,43236,10365
54443,19217,43408,11011
54504,1654,43457,16912
54681,14918,43595,26740
54745,17970,43650,18804
54937,4176,43788,6510
55068,8064,43904,20508
55074,1902,43907,25955
55156,30621,43977,28006
55264,16781,44067,19119
55354,15384,44142,6172
55416,9972,44186,12379
55563,23528,44308,19063
55618,30292,44349,29054
55632,15169,44355,22909
55668,18615,44381,23441
55820,18851,44494,23242
55895,13364,44551,16912
55949,6680,44596,13565
56334,28315,44896,28293
56433,22794,44974,26645
56591,18380,45104,27262
56643,17700,45141,4833
56692,16483,45181,21856
56786,21451,45251,10268
56831,18122,45279,10215
56907,15167,45340,23210
56993,17578,45414,24828
57495,17801,45838,4653
57712,7994,46016,2646
57800,1267,46086,26580
57828,22614,46105,11348
57876,21890,46137,8464
57940,18398,46185,2932
57983,18103,46219,25941
58093,16538,46314,29054
58188,30575,46383,23031
58213,10676,46402,26383
58641,15791,46752,26740
59175,10885,47184,22171
59530,7009,47460,12390
59718,28189,47611,10014
59838,12407,47719,26211
60059,16555,47904,14630
60065,15588,47907,4880
60102,29975,47935,22713
60168,19161,47988,6605
60326,16602,48103,17700
60332,8410,48106,30621
60405,18434,48156,17278
60519,19574,48255,14594
60544,10600,48277,27744
60639,17445,48357,18156
60736,16464,48445,25393
60958,18595,48628,9921
61119,22931,48756,29138
61254,27858,48870,30292
61274,14818,48884,27710
61285,18334,48892,24377
61296,21127,48900,28788
61456,16483,49016,7004
61538,4360,49079,14304
61944,12955,49421,25638
62143,16895,49587,26484
62264,8511,49684,18184
62335,996,49746,24794
62622,1736,49988,5459
62824,2986,50142,29054
62831,12535,50145,19554
63021,20250,50289,23623
63256,14093,50472,30714
63395,10024,50583,26594
63518,13578,50682,25106
63599,14568,50748,21591
63686,20157,50823,1387
63704,18583,50838,23714
63807,8464,50928,6889
63948,29134,51047,26156
64418,28218,51415,19323
64547,20192,51523,6098
64566,16783,51539,18865
64670,4870,51631,30657
64745,21625,51689,4833
64794,20778,51729,23623
64819,20071,51751,15805
65102,13210,51974,25288
65153,30621,52015,17700
65327,12633,52149,25462
65401,8940,52207,18356
65512,15409,52296,24377
65616,19008,52379,24975
65676,12752,52421,14843
65702,829,52438,24141
65888,18221,52579,16097
65948,16898,52627,30439
65988,14993,52658,16542
66086,8399,52738,27911
66146,12783,52780,24492
66261,5311,52874,26787
66334,20920,52932,23743
66363,25350,52954,5953
66587,27915,53138,14715
66641,13382,53180,25742
66716,16466,53231,25968
66842,20749,53332,11034
66858,10719,53341,6098
67002,18449,53458,23623
67135,18938,53561,3841
67154,15409,53574,25801
67234,16862,53639,3048
67333,21867,53722,5460
67690,27995,54018,14222
67696,9519,54021,9518
67831,18466,54123,529
67968,21373,54227,28479
68038,15830,54285,25641
68171,9878,54382,17278
68310,11711,54476,2418
68515,368,54645,15821
68565,12318,54677,29274
68589,8464,54693,25272
68610,18219,54708,21603
68654,20250,54746,28476
68732,11462,54804,23687
68791,20250,54851,24828
68853,22799,54906,27141
69015,19742,55031,7004
69097,16822,55101,17278
69125,10133,55123,15122
69235,5327,55218,6527
69354,28025,55316,17278
69424,17445,55371,16558
69725,15876,55606,2409
69856,15086,55707,11950
70141,1024,55941,16097
70181,5267,55972,29054
70262,11618,56034,25997
70314,16214,56079,25379
70351,14706,56101,17278
70691,6812,56369,22881
70842,16602,56493,24975
70848,20058,56496,31080
70875,8464,56516,25957
70998,16240,56622,4428
71163,13967,56753,18023
71221,14292,56805,24666
71430,17636,56971,15011
71450,19601,56981,8213
71531,18874,57053,16488
71776,21236,57247,30621
71839,10929,57301,2214
72138,31160,57558,30215
72143,3817,57560,5555
72218,21486,57620,13384
72231,3870,57625,10555
72665,22721,57977,20414
72788,21270,58072,25272
72952,21236,58209,4833
73462,7728,58620,10802
73482,20681,58637,11146
73540,20095,58683,22454
73613,16820,58744,26480
73676,9190,58798,6627
73680,10719,58799,6098
73764,15133,58856,54
74053,14734,59094,17416
74311,12464,59295,22948
74394,20246,59372,18700
74484,18574,59447,26127
74645,20428,59564,21662
74687,15974,59600,24377
74692,13746,59602,25465
74725,20239,59631,22721
74958,21502,59821,27744
75033,11062,59875,3892
75046,16602,59885,24975
75085,6473,59913,23408
75309,13967,60095,18023
75435,16179,60177,17817
75829,10268,60501,18356
75842,9704,60507,1983
75991,31214,60626,24149
76463,8569,60996,11015
76484,5173,61011,11950
76520,18210,61041,4641
76565,6274,61067,22851
76890,9060,61327,25957
77039,19797,61451,13388
77053,15429,61462,23623
77169,20250,61557,3288
77265,16483,61632,7004
77281,9242,61642,15250
77560,16483,61876,21856
77641,1611,61934,14959
77684,18434,61965,14959
77696,13772,61969,14594
77737,22543,62000,21553
78017,19534,62225,24667
78053,17339,62252,10681
78081,15086,62273,13452
78142,6463,62314,17278
78187,924,62350,16121
78201,14144,62361,24924
78349,8539,62480,26333
78433,18944,62546,14458
78560,17834,62647,15581
78768,16783,62807,13761
78922,28476,62928,6510
79104,21311,63064,6510
79157,19633,63098,26117
79365,18459,63263,11909
79474,6328,63351,13934
79534,11576,63402,9176
79539,16240,63403,24377
79637,17586,63473,8048
80134,21113,63881,17848
80363,9430,64066,25539
80422,20017,64113,12036
80533,22300,64205,11230
80779,4845,64387,4942
80802,15879,64402,19119
80826,10681,64420,26267
80987,16783,64557,18865
81480,10937,64963,14106
81526,30142,65000,8556
81708,3595,65145,8556
81899,19321,65305,23755
81912,18874,65312,29054
82006,20526,65388,28210
82047,12036,65423,14571
82364,17081,65686,24597
82373,5193,65687,25362
82395,27715,65701,24203
82459,5634,65756,8709
82698,14917,65924,6567
82734,21465,65957,9104
82750,20134,65970,9410
82862,20071,66058,24095
83205,17822,66335,29054
83268,30427,66385,26434
83322,15398,66423,18819
83386,19003,66475,17278
83433,12715,66519,27326
83489,31013,66563,25743
83501,21168,66569,6527
83527,9242,66587,21185
83536,14768,66593,30439
83577,19730,66625,3288
83761,6700,66776,11660
83839,18022,66833,13687
84093,13792,67043,24377
84149,14867,67090,21662
84317,18219,67213,26740
84387,5449,67268,24130
84529,16230,67386,18184
85155,20593,67901,26267
85256,20728,67981,24666
85329,10661,68045,22949
85615,209,68283,26416
85642,18623,68301,23623
85661,19826,68312,24377
85789,16673,68419,4605
85799,24377,68420,27131
85908,19651,68510,19851
85967,7264,68554,4109
86016,18107,68594,25187
86101,12230,68656,6140
86573,10843,69047,20733
86680,8768,69133,6006
86697,14135,69146,15521
86760,17496,69193,14517
86897,21624,69306,24975
87027,19147,69403,7419
87118,17580,69485,14971
87165,15224,69526,15766
87202,12820,69554,6098
87251,13919,69588,25333
87256,12550,69590,14971
87264,28861,69594,25053
87480,19537,69773,26155
87571,19640,69849,26543
87598,20524,69872,21662
87672,9342,69927,20266
87810,2820,70034,20842
88077,21624,70251,26799
88112,16026,70276,18408
88182,20728,70325,14959
88337,18874,70449,26644
88385,15974,70485,21662
88596,9404,70636,30427
88866,30599,70864,24004
88905,18022,70894,18030
88992,18022,70954,18030
89033,13081,70992,24828
89150,17445,71088,24427
89206,21486,71129,17286
89332,18698,71225,24095
89380,16996,71265,25270
89472,16598,71330,24377
89531,19742,71374,7004
89660,12449,71482,11878
89695,20718,71508,1861
89716,15512,71526,26687
90033,21044,71777,20508
