Fecha,SF,SFCC,SFCV,SFCFE,SFCCB,SFCCNB1,SFCCNB2,SFCVB,SFCVNB1,SFCVNB2,SFCFEB,SFCFENB1,SFCFENB2,SFCFENB3
10/1/1996,"1,449,787.5","41,828.0","304,706.2","1,103,253.3","36,373.4","1,407.3","4,047.3","215,689.6","1,357.9","87,658.8","589,846.8","53,123.8","193,070.2","267,212.5"
1/1/1997,"1,490,393.2","41,515.9","329,182.3","1,119,695.0","33,522.7","2,852.6","5,140.6","237,084.6","2,731.9","89,365.9","617,126.9","36,780.0","185,345.2","280,442.8"
4/1/1997,"1,540,054.8","41,405.0","337,529.2","1,161,120.6","33,111.0","3,235.2","5,058.8","241,438.8","3,514.2","92,576.2","615,381.3","36,939.7","203,997.2","304,802.5"
7/1/1997,"1,501,090.1","43,660.9","338,939.1","1,118,490.1","34,972.5","3,773.4","4,915.0","240,081.8","4,538.9","94,318.4","592,079.0","35,841.7","185,087.5","305,481.7"
10/1/1997,"1,565,203.5","46,330.2","343,624.6","1,175,248.7","35,470.2","4,567.3","6,292.7","240,742.9","5,607.1","97,274.6","608,626.9","39,324.0","210,084.2","317,213.5"
1/1/1998,"1,614,547.7","46,952.2","359,507.5","1,208,088.0","35,596.8","6,035.2","5,320.2","245,896.8","6,795.4","106,815.3","612,349.2","34,487.8","208,096.0","353,154.9"
4/1/1998,"1,690,314.9","50,546.0","368,745.9","1,271,023.0","37,296.3","6,395.5","6,854.2","250,803.5","8,277.3","109,665.1","627,109.4","37,690.3","225,646.2","380,577.2"
7/1/1998,"1,824,919.4","51,129.0","374,854.3","1,398,936.1","37,259.5","6,815.1","7,054.4","252,759.1","10,014.3","112,080.9","643,704.2","39,888.2","283,616.7","431,726.9"
10/1/1998,"1,823,835.2","52,012.4","405,068.9","1,366,753.9","34,177.2","6,988.0","10,847.2","255,796.9","11,368.8","137,903.2","588,871.8","41,826.9","295,808.4","440,246.8"
1/1/1999,"1,814,826.3","52,039.1","428,867.1","1,333,920.1","34,541.4","7,576.8","9,920.8","265,884.8","13,577.4","149,404.9","587,538.7","40,014.2","289,387.7","416,979.6"
4/1/1999,"1,894,124.2","57,117.4","431,672.1","1,405,334.7","37,545.9","8,742.9","10,828.6","261,562.5","15,657.8","154,451.8","593,437.7","42,087.9","326,265.1","443,543.9"
7/1/1999,"1,759,734.5","57,775.4","426,307.3","1,275,651.8","37,829.8","9,371.1","10,574.5","244,772.4","17,794.1","163,740.8","540,637.1","41,715.3","253,451.6","439,847.7"
10/1/1999,"1,820,264.1","62,348.7","437,151.4","1,320,764.0","38,532.4","10,586.9","13,229.4","245,921.9","20,223.4","171,006.1","545,753.0","41,243.7","264,117.5","469,649.8"
1/1/2000,"1,943,439.7","59,529.1","460,323.4","1,423,587.2","37,362.6","8,986.0","13,180.5","244,718.0","22,789.7","192,815.7","525,539.9","40,350.1","388,751.0","468,946.2"
4/1/2000,"2,075,192.2","64,353.9","466,609.1","1,544,229.2","40,197.9","9,799.3","14,356.7","237,788.1","25,350.2","203,470.8","533,243.0","44,206.8","448,522.0","518,257.4"
7/1/2000,"2,117,021.7","69,630.9","464,906.8","1,582,484.0","42,884.3","10,615.6","16,130.9","225,595.8","27,260.9","212,050.1","527,238.5","43,684.5","503,036.1","508,524.8"
10/1/2000,"2,105,127.8","78,646.6","452,986.6","1,573,494.6","48,758.6","12,364.0","17,524.0","202,059.0","29,788.4","221,139.2","514,314.5","50,798.7","488,166.5","520,215.0"
1/1/2001,"2,123,172.7","86,596.3","467,161.2","1,569,415.2","54,003.7","13,193.1","19,399.5","194,463.7","32,962.4","239,735.1","504,335.0","47,809.5","497,032.1","520,238.6"
4/1/2001,"2,066,223.6","90,979.6","464,737.7","1,510,506.3","56,534.0","13,865.3","20,580.2","179,832.4","36,483.3","248,422.1","489,445.3","48,495.6","485,469.6","487,095.7"
