ID,Clee,Nombre de la Unidad Económica,Razón social,Código de la clase de actividad SCIAN,Nombre de clase de la actividad,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Número exterior o kilómetro,Letra exterior,Edificio,Edificio Piso,Número interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado público",Número de local,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Manzana,Número de teléfono,Correo electrónico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporación al DENUE
8794161,19046468112000571000000000U0,ESTETICA AUTOMOTRIZ,,468112,Comercio al por menor de automóviles y camionetas usados,0 a 5 personas,CALLE,PUERTO MAGDALENA,CALLE,FELIPE ÁNGELES,AVENIDA,MARIO J. MONTEMAYOR,CALLE,PUERTO REAL,705,,,,,,COLONIA,NUEVO MUNDO,,,,66490,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1271,015,,,,Fijo,25.71023625,-100.2469214,2019-11
9128949,19046468112000611000000000U4,LAVADO Y ESTETICA DE AUTOS,,468112,Comercio al por menor de automóviles y camionetas usados,0 a 5 personas,AVENIDA,MARIO J. MONTEMAYOR,CALLE,PUERTO MAGDALENA,CALLE,PUERTO REAL,CALLE,FELIPE ÁNGELES,702,,,,,,COLONIA,NUEVO MUNDO SECT 2,,,,66490,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1271,015,,,,Fijo,25.71010001,-100.2469396,2019-11
2935283,19046541941000411000000000U2,CLINICA VETERINARIA Y ESTETICA,,541941,Servicios veterinarios para mascotas prestados por el sector privado,0 a 5 personas,CALLE,SALTILLO,CALLE,CANDELA,CALLE,VILLALDAMA,CALLE,CALLE DEL CARMEN,745,,,,,,COLONIA,CHAPULTEPEC,,,,66450,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1642,013,,APG502008@HOTMAIL.COM,WWWDR.PADILLA.COM.MX,Fijo,25.74264899,-100.2973439,2010-07
2975454,19046541941000781000000000M8,ESTETICA Y VETERINARIA ACVET,,541941,Servicios veterinarios para mascotas prestados por el sector privado,0 a 5 personas,AVENIDA,MONTES BERNESES,CALLE,NIÑOS HEROES,AVENIDA,HEROES DE MEXICO,CALLE,5 DE MAYO,1305,,CENTRO Y PLAZA COMERCIAL,PLANTA BAJA,,,COLONIA,RESIDENCIAL SAN NICOLAS,CENTRO Y PLAZA COMERCIAL,PLAZA BERNESES,1305,66414,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0856,042,8115291934,ACVET.CLINICA@GMAIL.COM,,Fijo,25.75833683,-100.2649117,2014-12
3021697,19046621211001781000000000U8,ESTETICA DENTAL Y ORTODONCIA,,621211,Consultorios dentales del sector privado,0 a 5 personas,AVENIDA,BENITO JUAREZ,CALLE,ANASTASIO BUSTAMANTE,CALLE,MARIANO MATAMOROS,CALLE,PADRE MIER,320,B,,,,,COLONIA,SAN NICOLAS CENTRO,,,,66400,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0095,019,,,,Fijo,25.75423619,-100.2939213,2010-07
3005403,19046621211001851001000000U9,ODONTOLOGIA ESTETICA Y ESPECIALIZADA,,621211,Consultorios dentales del sector privado,6 a 10 personas,AVENIDA,SANTO DOMINGO,CALLE,SAN ANDRES,CALLE,SAN BLAS,CALLE,SAN AGUSTÍN,1638,,,,,,COLONIA,VILLAS DE SANTO DOMINGO,,,,66437,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1303,002,8180079336,DIANAESFRONCEDA@HOTMAIL.COM,,Fijo,25.75131293,-100.2582204,2010-07
3021735,19046621211000251000000000U3,ORTODONCIA INTEGRAL Y ESTETICA,,621211,Consultorios dentales del sector privado,0 a 5 personas,AVENIDA,BENITO JUAREZ,CALLE,IGNACIO ALLENDE,CALLE,MIGUEL HIDALGO Y COSTILLA,CALLE,PADRE MIER,210,,PLAZA Y CENTRO COMERCIAL,PISO 1,12,,COLONIA,SAN NICOLAS CENTRO,CENTRO Y PLAZA COMERCIAL,PLAZA PRESIDENCIA,12,66400,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0095,011,,DRDVILLARREAL@GMAIL.COM,,Fijo,25.75527862,-100.2900397,2010-07
9084630,19046621211004591000000000U8,RMC ORTODONCIA Y ODONTOLOGIA ESTETICA,,621211,Consultorios dentales del sector privado,0 a 5 personas,AVENIDA,SENDERO NORTE,PRIVADA,SENDERO ANAHUAC,OTRO (ESPECIFIQUE),NINGUNO,OTRO (ESPECIFIQUE),NINGUNO,370,,CENTRO Y PLAZA COMERCIAL,PISO 1,6,,COLONIA,BENITO JUAREZ,CENTRO Y PLAZA COMERCIAL,SIN NOMBRE,18,66410,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0447,059,8128854484,,,Fijo,25.77015751,-100.2683761,2019-11
8626314,19046621391000331000000000U3,SKINNY ESTETICA MEDICA,,621391,Consultorios de nutriólogos y dietistas del sector privado,0 a 5 personas,CALLE,18 DE DICIEMBRE,CALLE,15 DE AGOSTO,CALLE,24 DE MAYO,CALLE,8 DE DICIEMBRE,304,,,,,A,COLONIA,ROBLE,,,,66450,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0184,004,8115535416,,,Fijo,25.74276606,-100.3071471,2019-11
3015200,19046812110009271000000000U5,AI ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,JOSE SANTOS CHOCANO,CALLE,GUTIERRE DE CETINA,AVENIDA,UNIVERSIDAD,CALLE,PALACIO DE JUSTICIA,,SN,,,,,COLONIA,ANAHUAC,,,,66450,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0220,042,8110509610,VEROIBPEART@GMAIL.COM,,Fijo,25.73735093,-100.3043635,2010-07
7658096,19046812110020251000000000U2,ALMA ORTIZ ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,NOGAL,CALLE,OLMOS,CALLE,OLIVOS,CALLE,PIRUL,,SN,,,,,COLONIA,HACIENDA LOS MORALES 3 SECTOR,,,,66495,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,145A,025,,,,Fijo,25.71280255,-100.2438864,2019-11
2975521,19046812110005911000000000U0,AVRIL ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,VICENTE GUERRERO,CALLE,RIO BALSAS,CALLE,PLAZA DE IZUCAR,CALLE,TIXTLA,532,A,,,,,COLONIA,VICENTE GUERRERO,,,,66437,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0926,029,,,,Fijo,25.75611492,-100.2527342,2014-12
7540665,19046812110017101000000000U4,BACKSTAGE ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,REPUBLICA MEXICANA,CALLE,CERRO TULILLO,CALLE,CERRO PEÑA COLORADA,CALLE,CERRO DEL DIEZMO,314,,,,0,,COLONIA,EL FUNDADOR,,,,66414,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0875,025,8119079106,LETYPADILLA@HOTMAIL.COM,,Fijo,25.75708866,-100.2761609,2019-11
7540839,19046812110017371000000000U3,BEAUTIFUL ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,NICEFORO ZAMBRANO,CALLE,LORENZO SEPULVEDA,CALLE,DOCTOR IGNACIO ROEL,CALLE,RAMÓN GAMEZ,113,,,,,,COLONIA,CONSTITUYENTES DEL 17,,,,66410,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0856,008,8120524571,,,Fijo,25.76357459,-100.2715955,2019-11
3026819,19046812110008961000000000U2,BELLA FRANCA ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,TORRES DE SANTO DOMINGO,AVENIDA,ROBERTO ESPINOZA VAZQUEZ,CALLE,FUENTE RICA,CALLE,PACIENCIA,905,C,,,,,COLONIA,PEDREGAL DE SANTO DOMINGO,,,,66444,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1055,050,,,,Fijo,25.73502718,-100.2636303,2010-07
2978422,19046812110013421000000000U0,CHICK SALON ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,IGNACIO DE LOYOLA,CALLE,SAN SALVADOR,CALLE,ORION,CALLE,SAN TIMOTEO,1500,,,,,,COLONIA,VILLAS DE SAN CRISTOBAL 2DO SECT,,,,66478,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1591,018,8116084410,,,Fijo,25.73370519,-100.2145354,2014-12
