"Edades","Mujeres","Hombres","Total"
"Menos de 12 años",85981,89851,175832
"12 a 17 años",46195,48093,94288
"18 a 24 años",66239,68857,135096
"25 a 29 años",42042,44795,86837
"30 a 34 años",37766,39083,76849
"35 a 39 años",37279,38163,75442
"40 a 44 años",39855,39601,79456
"45 a 49 años",40678,40490,81168
"50 a 54 años",38186,36842,75028
"55 a 59 años",31430,29230,60660
"60 a 64 años",30087,25849,55936
"65 años o más",78243,59767,138010
"Edad desconocida",4208,4184,8392
"Total",578189,564805,1142994
