Clave_entidad,Entidad_federativa,Clave_municipio,Nombre_municipio,Clave_localidad,Clave_AGEB,Folio_AGEB,Población_total ,Viviendas_habitadas,Población_de_15_años_con_educación_básica_incompleta,Población_15_24_no_asiste_a_la_escuela,Población_sin_derechohabiencia,Personas_que_viven_en_hacinamiento,Viviendas_sin_anitario,Viviendas_sin_lavadora,Viviendas_sin_refrigerador,Viviendas_sin_teléfono_fijo,Población_15_años_o_más_analfabeta,Población_6_14 años_no_asiste_a_escuela,Viviendas_con_piso_tierra,Viviendas_sin_agua_entubada,Viviendas_sin_drenaje,Viviendas_sin_energía_eléctrica,Rezago_social
19,Nuevo León,46,San Nicolás de los Garza,1,42,1904600010042.00,1859,545,30.26199913,53.15599823,24.79800034,0.739000022,1.100999951,17.06399918,3.118999958,31.55999947,1.681237391,2.564102564,0.550458716,0.183486239,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,57,1904600010057.00,1520,442,27.20499992,57.63499832,19.40800095,0.948000014,4.977000237,15.61100006,5.881999969,31.89999962,1.164725458,2.48447205,0,0.452488688,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,76,1904600010076.00,4304,1179,28.9260006,50.98699951,18.19199944,0.25999999,2.204999924,7.633999825,3.986000061,19.08399963,1.880877743,2.914798206,0.678541137,0,0,0.169635284,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,95,1904600010095.00,1460,441,22.56999969,52.2120018,23.90399933,2.142999887,5.215000153,19.27400017,8.390000343,34.69400024,1.944209637,1.829268293,0.453514739,0.453514739,0.22675737,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,108,1904600010108.00,2907,824,29.17399979,54.45299911,22.56599998,2.566999912,5.340000153,18.93199921,8.373999596,32.64599991,1.929982047,4.719764012,0.242718447,0,0,0.121359223,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,127,1904600010127.00,4640,1309,25.76300049,44.44400024,16.4659996,0.462000012,0.381999999,6.493999958,1.070000052,12.29899979,1.277705346,2.395209581,0.993124523,0.076394194,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,131,1904600010131.00,4692,1374,7.768000126,33.1609993,15.94200039,0.152999997,4.730999947,9.243000031,5.386000156,11.64500046,0.220534183,2.279202279,0.291120815,0.509461426,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,146,1904600010146.00,3316,983,23.68099976,44.08399963,22.40699959,0.637000024,4.171000004,16.27700043,5.798999786,25.63599968,1.291036518,0.949367089,0.508646999,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,017A,190460001017A,4742,1241,21.01099968,48.17200089,20.56100082,0.893999994,0.725000024,6.446000099,1.692000031,16.1970005,1.59835009,2.303262956,0.483481064,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,184,1904600010184.00,3599,1138,10.3920002,28.70400047,15.61499977,0,0.43900001,3.338999987,0.967000008,5.008999825,0.388475235,4.792332268,2.636203866,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,201,1904600010201.00,4213,1293,16.52400017,31.50900078,15.45199966,0.078000002,0.619000018,7.347000122,1.315000057,10.28600025,0.51369863,2.617801047,1.082753287,0.07733952,0,0,Bajo
