ID,Clee,Nombre_Unidad_Económica,Razón_social,Código_SCIAN,Nombre_SCIAN,Personal_ocupado_maximo,Tipo_vialidad,Nombre_vialidad,entre_vialidad_1,Nombre_entre_vialidad_1,entre_vialidad_2,Nombre_entre_vialidad_2,entre_vialidad_3,Nombre_entre_vialidad_3,Número_exterior,Letra_exterior,Edificio,Edificio_Piso,Número_interior,Letra_interior,Nombre_colonia,Tipo_centro_comercial,Nombre_plaza,Número_local,Código_Postal,Clave_entidad,Entidad_federativa,Clave_municipio,Municipio,Clave_localidad,AGEB,Manzana,teléfono,Correo,Sitio_web,Latitud,Longitud,Fecha_registro_DENUE
8794161,19046468112000571000000000U0,ESTETICA AUTOMOTRIZ,NaN,468112,Comercio al por menor de automóviles y camionetas usados,5,CALLE,PUERTO MAGDALENA,CALLE,FELIPE ÁNGELES,AVENIDA,MARIO J. MONTEMAYOR,CALLE,PUERTO REAL,705,NaN,NaN,NaN,NaN,NaN,NUEVO MUNDO,NaN,NaN,NaN,66490,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,1,1271,15,NaN,NaN,NaN,25.71023625,-100.2469214,2019-11
9128949,19046468112000611000000000U4,LAVADO Y ESTETICA DE AUTOS,NaN,468112,Comercio al por menor de automóviles y camionetas usados,5,AVENIDA,MARIO J. MONTEMAYOR,CALLE,PUERTO MAGDALENA,CALLE,PUERTO REAL,CALLE,FELIPE ÁNGELES,702,NaN,NaN,NaN,NaN,NaN,NUEVO MUNDO SECT 2,NaN,NaN,NaN,66490,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,1,1271,15,NaN,NaN,NaN,25.71010001,-100.2469396,2019-11
2935283,19046541941000411000000000U2,CLINICA VETERINARIA Y ESTETICA,NaN,541941,Servicios veterinarios para mascotas prestados por el sector privado,5,CALLE,SALTILLO,CALLE,CANDELA,CALLE,VILLALDAMA,CALLE,CALLE DEL CARMEN,745,NaN,NaN,NaN,NaN,NaN,CHAPULTEPEC,NaN,NaN,NaN,66450,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,1,1642,13,NaN,APG502008@HOTMAIL.COM,WWWDR.PADILLA.COM.MX,25.74264899,-100.2973439,2010-07
2975454,19046541941000781000000000M8,ESTETICA Y VETERINARIA ACVET,NaN,541941,Servicios veterinarios para mascotas prestados por el sector privado,5,AVENIDA,MONTES BERNESES,CALLE,NIÑOS HEROES,AVENIDA,HEROES DE MEXICO,CALLE,5 DE MAYO,1305,NaN,CENTRO Y PLAZA COMERCIAL,PLANTA BAJA,NaN,NaN,RESIDENCIAL SAN NICOLAS,CENTRO Y PLAZA COMERCIAL,PLAZA BERNESES,1305,66414,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,1,856,42,8115291934,ACVET.CLINICA@GMAIL.COM,NaN,25.75833683,-100.2649117,2014-12
3021697,19046621211001781000000000U8,ESTETICA DENTAL Y ORTODONCIA,NaN,621211,Consultorios dentales del sector privado,5,AVENIDA,BENITO JUAREZ,CALLE,ANASTASIO BUSTAMANTE,CALLE,MARIANO MATAMOROS,CALLE,PADRE MIER,320,B,NaN,NaN,NaN,NaN,SAN NICOLAS CENTRO,NaN,NaN,NaN,66400,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,1,95,19,NaN,NaN,NaN,25.75423619,-100.2939213,2010-07
3005403,19046621211001851001000000U9,ODONTOLOGIA ESTETICA Y ESPECIALIZADA,NaN,621211,Consultorios dentales del sector privado,10,AVENIDA,SANTO DOMINGO,CALLE,SAN ANDRES,CALLE,SAN BLAS,CALLE,SAN AGUSTÍN,1638,NaN,NaN,NaN,NaN,NaN,VILLAS DE SANTO DOMINGO,NaN,NaN,NaN,66437,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,1,1303,2,8180079336,DIANAESFRONCEDA@HOTMAIL.COM,NaN,25.75131293,-100.2582204,2010-07
3021735,19046621211000251000000000U3,ORTODONCIA INTEGRAL Y ESTETICA,NaN,621211,Consultorios dentales del sector privado,5,AVENIDA,BENITO JUAREZ,CALLE,IGNACIO ALLENDE,CALLE,MIGUEL HIDALGO Y COSTILLA,CALLE,PADRE MIER,210,NaN,PLAZA Y CENTRO COMERCIAL,PISO 1,12,NaN,SAN NICOLAS CENTRO,CENTRO Y PLAZA COMERCIAL,PLAZA PRESIDENCIA,12,66400,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,1,95,11,NaN,DRDVILLARREAL@GMAIL.COM,NaN,25.75527862,-100.2900397,2010-07
9084630,19046621211004591000000000U8,RMC ORTODONCIA Y ODONTOLOGIA ESTETICA,NaN,621211,Consultorios dentales del sector privado,5,AVENIDA,SENDERO NORTE,PRIVADA,SENDERO ANAHUAC,OTRO (ESPECIFIQUE),NINGUNO,OTRO (ESPECIFIQUE),NINGUNO,370,NaN,CENTRO Y PLAZA COMERCIAL,PISO 1,6,NaN,BENITO JUAREZ,CENTRO Y PLAZA COMERCIAL,SIN NOMBRE,18,66410,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,1,447,59,8128854484,NaN,NaN,25.77015751,-100.2683761,2019-11
8626314,19046621391000331000000000U3,SKINNY ESTETICA MEDICA,NaN,621391,Consultorios de nutriólogos y dietistas del sector privado,5,CALLE,18 DE DICIEMBRE,CALLE,15 DE AGOSTO,CALLE,24 DE MAYO,CALLE,8 DE DICIEMBRE,304,NaN,NaN,NaN,NaN,A,ROBLE,NaN,NaN,NaN,66450,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,1,184,4,8115535416,NaN,NaN,25.74276606,-100.3071471,2019-11
3015200,19046812110009271000000000U5,AI ESTETICA,NaN,812110,Salones y clínicas de belleza y peluquerías,5,CALLE,JOSE SANTOS CHOCANO,CALLE,GUTIERRE DE CETINA,AVENIDA,UNIVERSIDAD,CALLE,PALACIO DE JUSTICIA,NaN,SN,NaN,NaN,NaN,NaN,ANAHUAC,NaN,NaN,NaN,66450,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,1,220,42,8110509610,VEROIBPEART@GMAIL.COM,NaN,25.73735093,-100.3043635,2010-07
