Clave_de_entidad_federativa,Nombre_de_la_entidad,Clave_de_municipio,Nombre_del_municipio,Clave_de_AGEB,Clave_de_la_manzana,Población_total,Población_masculina,Población_de_0_a_2_años,Población_masculina_de_0_a_2_años,Población_de_3_años_y_más,Población_masculina_de_3_años_y_más,Población_de_5_años_y_más,Población_masculina_de_5_años_y_más,Población_de_12_años_y_más,Población_masculina_de_12_años_y_más,Población_de_15_años_y_más,Población_masculina_de_15_años_y_más,Población_de_18_años_y_más,Población_masculina_de_18_años_y_más,Población_de_3_a_5_años,Población_masculina_de_3_a_5_años,Población_de_6_a_11_años,Población_masculina_de_6_a_11_años,Población_de_8_a_14_años,Población_masculina_de_8_a_14_años,Población_de_12_a_14_años,Población_masculina_de_12_a_14_años,Población_de_15_a_17_años,Población_masculina_de_15_a_17_años,Población_de_18_a_24_años,Población_masculina_de_18_a_24_años,Población_de_60_años_y_más,Población_masculina_de_60_años_y_más,Relación_hombres_mujeres,Población_de_0_a_14_años,Población_de_15_a_64_años,Población_de_65_años_y_más,Total_de_hogares_censales,Hogares_censales_con_persona_de_referencia_hombre,Población_en_hogares_censales,Población_en_hogares_censales_con_persona_de_referencia_hombre
19,Nuevo León,46,San Nicolás de los Garza,42,1,55,27,NaN,NaN,53,25,52,25,49,23,48,23,48,23,NaN,NaN,NaN,NaN,3,NaN,NaN,0,0,0,9,6,16,7,96.43,7,35,13,15,10,55,32
19,Nuevo León,46,San Nicolás de los Garza,42,2,38,20,NaN,0,37,20,36,19,35,18,32,16,32,16,NaN,NaN,NaN,NaN,3,NaN,3,NaN,0,0,3,3,13,5,111.11,6,23,9,15,11,38,29
19,Nuevo León,46,San Nicolás de los Garza,42,3,36,17,NaN,0,35,17,35,17,33,17,33,17,33,17,0,0,NaN,0,NaN,0,0,0,0,0,4,NaN,15,8,89.47,3,24,9,13,12,36,34
19,Nuevo León,46,San Nicolás de los Garza,42,4,38,17,NaN,0,37,17,36,16,27,11,23,9,22,9,3,NaN,7,4,9,5,4,NaN,NaN,0,NaN,0,8,NaN,80.95,15,16,7,7,4,38,22
19,Nuevo León,46,San Nicolás de los Garza,42,5,13,7,0,0,13,7,13,7,13,7,13,7,12,6,0,0,0,0,0,0,0,0,NaN,NaN,0,0,3,NaN,116.67,0,12,NaN,6,4,13,10
19,Nuevo León,46,San Nicolás de los Garza,42,6,55,29,0,0,55,29,54,29,51,29,51,29,51,29,NaN,0,3,0,3,0,0,0,0,0,12,5,12,7,111.54,4,44,7,16,11,55,35
19,Nuevo León,46,San Nicolás de los Garza,42,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,8,12,7,0,0,12,7,12,7,12,7,12,7,11,6,0,0,0,0,0,0,0,0,NaN,NaN,3,NaN,NaN,NaN,140,0,10,NaN,6,4,12,7
19,Nuevo León,46,San Nicolás de los Garza,42,9,7,4,0,0,7,4,7,4,7,4,7,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,5,NaN,133.33,0,NaN,5,3,NaN,7,3
19,Nuevo León,46,San Nicolás de los Garza,42,10,92,49,NaN,NaN,90,48,88,47,83,45,81,43,78,42,3,NaN,4,NaN,6,4,NaN,NaN,3,NaN,14,8,17,6,113.95,11,67,14,31,20,92,63
19,Nuevo León,46,San Nicolás de los Garza,42,11,106,49,4,NaN,101,46,98,44,89,39,84,36,79,34,4,3,8,4,10,6,5,3,5,NaN,13,6,17,5,85.96,21,69,15,25,14,106,61
19,Nuevo León,46,San Nicolás de los Garza,42,12,37,20,NaN,0,36,20,36,20,35,19,33,17,33,17,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,4,NaN,6,4,117.65,4,30,3,16,8,37,20
19,Nuevo León,46,San Nicolás de los Garza,42,13,38,21,NaN,0,37,21,37,21,34,20,32,19,31,19,0,0,3,NaN,4,NaN,NaN,NaN,NaN,0,5,4,7,4,123.53,6,25,7,14,12,38,33
19,Nuevo León,46,San Nicolás de los Garza,42,14,42,22,NaN,NaN,41,21,40,21,36,19,36,19,34,18,NaN,0,4,NaN,4,NaN,0,0,NaN,NaN,6,3,11,6,110,6,25,11,13,12,42,41
19,Nuevo León,46,San Nicolás de los Garza,42,15,29,15,0,0,29,15,29,15,28,14,28,14,26,13,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,7,NaN,107.14,NaN,27,NaN,10,6,29,21
19,Nuevo León,46,San Nicolás de los Garza,42,16,30,12,NaN,NaN,29,11,29,11,25,11,24,11,24,11,NaN,0,NaN,0,3,0,NaN,0,0,0,4,NaN,11,6,66.67,6,15,9,9,8,30,29
19,Nuevo León,46,San Nicolás de los Garza,42,17,66,31,NaN,NaN,65,30,64,30,61,29,60,29,58,28,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,NaN,9,5,15,6,88.57,6,49,11,23,12,66,30
19,Nuevo León,46,San Nicolás de los Garza,42,18,48,27,NaN,0,47,27,47,27,44,24,43,23,41,22,0,0,3,3,4,4,NaN,NaN,NaN,NaN,3,NaN,10,4,128.57,5,36,7,15,11,48,38
19,Nuevo León,46,San Nicolás de los Garza,42,19,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Nuevo León,46,San Nicolás de los Garza,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,24,53,24,0,0,53,24,52,24,52,24,52,24,49,23,NaN,0,0,0,0,0,0,0,3,NaN,7,3,15,5,82.76,NaN,38,14,19,9,53,28
19,Nuevo León,46,San Nicolás de los Garza,42,25,47,29,NaN,NaN,45,28,45,28,42,26,42,26,42,26,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,4,3,13,7,161.11,5,35,7,14,10,47,28
19,Nuevo León,46,San Nicolás de los Garza,42,26,38,13,NaN,NaN,36,11,36,11,34,11,32,11,31,11,0,0,NaN,0,4,0,NaN,0,NaN,0,5,NaN,9,3,52,6,24,8,11,6,38,26
19,Nuevo León,46,San Nicolás de los Garza,42,27,88,43,NaN,NaN,86,42,83,40,79,36,74,34,70,33,3,NaN,4,4,9,6,5,NaN,4,NaN,10,5,25,13,95.56,14,55,19,29,19,88,62
19,Nuevo León,46,San Nicolás de los Garza,42,28,61,32,NaN,NaN,59,31,59,31,57,30,56,29,55,29,0,0,NaN,NaN,3,NaN,NaN,NaN,NaN,0,8,4,19,9,110.34,5,45,11,22,16,61,41
19,Nuevo León,46,San Nicolás de los Garza,42,29,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Nuevo León,46,San Nicolás de los Garza,42,30,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Nuevo León,46,San Nicolás de los Garza,42,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,35,107,55,NaN,NaN,105,54,104,54,97,51,92,46,85,43,NaN,0,7,3,10,7,5,5,7,3,13,11,27,10,105.77,15,70,22,30,15,107,48
19,Nuevo León,46,San Nicolás de los Garza,42,36,61,29,0,0,60,28,60,28,57,26,56,25,54,24,0,0,3,NaN,3,3,NaN,NaN,NaN,NaN,4,3,29,15,90.63,4,33,23,24,14,61,36
19,Nuevo León,46,San Nicolás de los Garza,42,37,39,21,4,NaN,35,19,35,19,32,19,31,18,28,17,0,0,3,0,3,NaN,NaN,NaN,3,NaN,8,4,6,3,116.67,8,26,5,12,9,39,27
19,Nuevo León,46,San Nicolás de los Garza,42,38,76,40,0,0,76,40,72,36,65,33,62,33,59,32,7,7,4,0,6,0,3,0,3,NaN,5,3,17,8,111.11,14,52,10,28,20,76,56
19,Nuevo León,46,San Nicolás de los Garza,42,40,76,43,NaN,0,75,43,74,42,66,38,63,35,58,30,3,3,6,NaN,8,5,3,3,5,5,6,3,15,6,130.3,13,50,13,22,13,76,49
19,Nuevo León,46,San Nicolás de los Garza,42,41,30,15,0,0,30,15,30,15,28,14,27,13,27,13,0,0,NaN,NaN,3,NaN,NaN,NaN,0,0,NaN,NaN,11,5,100,3,18,9,12,10,30,27
19,Nuevo León,46,San Nicolás de los Garza,42,42,79,37,NaN,NaN,78,36,75,35,67,32,64,30,63,29,4,NaN,7,NaN,10,4,3,NaN,NaN,NaN,7,3,24,8,88.1,15,46,18,29,18,79,51
19,Nuevo León,46,San Nicolás de los Garza,42,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,44,50,23,NaN,0,49,23,47,22,45,21,44,20,43,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,3,17,7,85.19,6,30,14,19,12,50,20
19,Nuevo León,46,San Nicolás de los Garza,42,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,51,79,38,7,5,72,33,67,28,59,26,57,25,57,25,8,6,5,NaN,4,NaN,NaN,NaN,0,0,13,4,16,5,92.68,22,48,9,23,16,79,55
19,Nuevo León,46,San Nicolás de los Garza,42,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
