CEF,NE,CM,NM,AGEB,PT,VVPH,P_15_MAS_EBI,P_15_24_NAE,PSDSP,PVH,VNDS,VNDL,VNDR,VNDT,P_15_MAS_A,P_6_14_NAE,VPT,VNDAP,VNDD,VNDEE,GRS
19,Nuevo León,46,San Nicolás de los Garza,42,1859,545,562,988,460,13,20,317,57,586,31,47,10,3,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,57,1520,442,413,876,295,14,75,237,89,484,17,37,0,6,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,76,4304,1179,1244,2194,782,11,94,328,171,821,80,125,29,0,0,7,Bajo
19,Nuevo León,46,San Nicolás de los Garza,95,1460,441,329,762,348,31,76,281,122,506,28,26,6,6,3,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,108,2907,824,848,1582,655,74,155,550,243,949,56,137,7,0,0,3,Bajo
19,Nuevo León,46,San Nicolás de los Garza,127,4640,1309,1195,2062,764,21,17,301,49,570,59,111,46,3,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,131,4692,1374,364,1555,747,7,221,433,252,546,10,106,13,23,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,146,3316,983,785,1461,743,21,138,539,192,850,42,31,16,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,184,3599,1138,374,1033,561,0,15,120,34,180,13,172,94,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,201,4213,1293,696,1327,650,3,26,309,55,433,21,110,45,3,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,216,2126,647,155,462,225,0,3,82,26,111,2,30,55,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,220,1585,484,79,335,199,0,0,42,13,55,1,46,19,3,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,235,2226,668,284,634,306,0,3,66,23,106,6,120,83,3,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,324,2609,814,551,1145,510,3,9,201,35,381,24,79,48,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,339,1352,399,241,704,203,3,10,81,16,135,6,30,0,6,0,3,Bajo
19,Nuevo León,46,San Nicolás de los Garza,343,6508,1630,2345,4330,1277,60,23,810,207,2048,197,136,3,3,0,3,Bajo
19,Nuevo León,46,San Nicolás de los Garza,362,6006,1683,1226,2670,1010,18,99,396,117,842,58,67,10,0,3,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,381,3734,1097,819,1817,733,6,61,360,108,759,35,64,3,0,3,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,413,4201,1081,397,1267,787,32,54,310,190,699,13,35,31,15,3,3,Bajo
19,Nuevo León,46,San Nicolás de los Garza,447,3131,817,214,898,473,3,68,130,72,352,2,38,11,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,466,2400,598,89,603,397,0,104,176,120,212,1,27,8,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,485,3378,927,224,1083,527,3,112,233,156,346,7,9,43,18,3,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,536,5064,1175,1580,3382,1055,99,4,534,137,1771,131,148,43,12,4,4,Bajo
