ID,AGEB,Clee,NUE,RS,SCIAN,NCA,EPO,TV,NV,EV1,NEV1,EV2,NEV2,EV3,NEV3,NEK,LE,E,EP,NI,LI,TAH,NAH,TCC,NCC,NL,CP,CEF,NE,CM,NM,CMZ,NT,CE ,PW,LAT,LON,FiDENUE
3020748,42,19046812110013041000000000U6,ESTETICA COQUETAS,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,GENERAL NICOLAS BRAVO,PEATONAL,NINGUNO,AVENIDA,UNIVERSIDAD,CALLE,NINGUNO,711,1,NaN,NaN,NaN,NaN,COLONIA,CENTRO,NaN,NaN,NaN,64600,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,61,8120424510,NaN,NaN,25.75492087,-100.2976828,2010-07
3020758,42,19046812110001681000000000U3,ESTETICA DE SOLIS,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,NINGUNO,CALLE,BURGOS,AVENIDA,UNIVERSIDAD,CALLE,BURGOS,220,8,NaN,NaN,NaN,NaN,COLONIA,CENTRO DE SAN NICOLAS DE LOS GARZA,NaN,NaN,NaN,66428,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,45,8183528983,NaN,NaN,25.75455641,-100.2978966,2010-07
3020755,42,19046812110003341000000000U2,ESTETICA UNISEX BETTY,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,NINGUNO,CALLE,BURGOS,AVENIDA,UNIVERSIDAD,CALLE,BURGOS,220,2,NaN,NaN,NaN,NaN,COLONIA,CENTRO DE SAN NICOLAS DE LOS GARZA,NaN,NaN,NaN,66428,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,45,8183762855,NaN,NaN,25.75461523,-100.2976574,2010-07
3021029,42,19046812110008401000000000U9,ESTETICA UNISEX MAYRA,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,SANTIAGO TAPIA,CALLE,GENERAL SIMON BOLIVAR,AVENIDA,ARTURO B. DE LA GARZA,CALLE,RAMÓN TREVIÑO,801,NaN,NaN,NaN,NaN,NaN,COLONIA,CENTRO,NaN,NaN,NaN,66400,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,42,8112702483,NaN,NaN,25.76157176,-100.288072,2010-07
3021282,57,19046812110008991000000000U9,ESTETICA ESPLENDIDA IMAGEN,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,PORFIRIO DIAZ,CALLE,CORREGIDORA,AVENIDA,UNIVERSIDAD,AVENIDA,UNIVERSIDAD,700,NaN,NaN,NaN,NaN,C,COLONIA,SAN NICOLAS CENTRO,NaN,NaN,NaN,66400,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,48,8123173350,NaN,NaN,25.75429955,-100.2971914,2010-07
8712681,57,19046812110014621000000000U4,ESTETICA GARZA,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,MIGUEL HIDALGO Y COSTILLA,CALLE,GENERAL IGNACIO ZARAGOZA,CALLE,CUAUHTEMOC,CALLE,IGNACIO ALDAMA,506,NaN,NaN,NaN,NaN,NaN,COLONIA,SAN NICOLAS CENTRO,NaN,NaN,NaN,66400,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,10,NaN,NaN,NaN,25.75854012,-100.290901,2019-11
3021315,57,19046812110011221000000000U6,ESTETICA KIKA ANGELO,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,PORFIRIO DIAZ,CALLE,CORREGIDORA,PRIVADA,IGNACIO LOPEZ RAYON,CALLE,GENERAL NICOLÁS BRAVO,601,NaN,NaN,NaN,11,NaN,COLONIA,SAN NICOLAS CENTRO,NaN,NaN,NaN,66400,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,45,8116838602,NaN,NaN,25.7544406,-100.2966315,2010-07
3021098,57,19046812110006771000000000U7,ESTETICA NORMA,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,ARTURO B. DE LA GARZA,CALLE,CUAUHTEMOC,CALLE,CUATRO MILPAS,CALLE,CUATRO MILPAS,411,NaN,NaN,NaN,0,NaN,COLONIA,SAN NICOLAS CENTRO,NaN,NaN,NaN,66400,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,38,8183501022,NaN,NaN,25.75915998,-100.2872022,2010-07
3021331,57,19046812110009301000000000U0,ESTETICA UNISEX,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,ANASTASIO BUSTAMANTE,CALLE,PORFIRIO DIAZ,CALLE,GENERAL NICOLAS BRAVO,CALLE,GENERAL FRANCISCO NARANJO,215,NaN,NaN,NaN,3,NaN,COLONIA,SAN NICOLAS CENTRO,NaN,NaN,NaN,66400,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,33,8186769611,NaN,NaN,25.75510648,-100.2944428,2010-07
3021300,57,19046812110001721000000000U7,ESTETICA UNISEX NEW LOOK,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,GENERAL IGNACIO LOPEZ RAYON,CALLE,PORFIRIO DIAZ,CALLE,GENERAL NICOLAS BRAVO,PRIVADA,IGNACIO LÓPEZ RAYÓN,203,NaN,NaN,NaN,13,13,COLONIA,SAN NICOLAS CENTRO,NaN,NaN,NaN,66400,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,45,8182992637,NaN,NaN,25.75515274,-100.2962796,2010-07
