CEF,NE,CM,NM,AGEB,CMZ,PT,PF,PM,P_0_2,PF_0_2,PM_0_2,P_3_MAS,PF_3_MAS,PM_3_MAS,P_5_MAS,PF_5_MAS,PM_5_MAS,P_12_MAS,PF_12_MAS,PM_12_MAS,P_15_MAS,PF_15_MAS,PM_15_MAS,P_18_MAS,PF_18_MAS,PM_18_MAS,P_3_5,PF_3_5,PM_3_5,P_6_11,PF_6_11,PM_6_11,P_8_14,PF_8_14,PM_8_14,P_12_14,PF_12_14,PM_12_14,P_15_17,PF_15_17,PM_15_17,P_18_24,PF_18_24,PM_18_24,PF_15_49,P_60_MAS,PF_60_MAS,PM_60_MAS,RMF,P_0_14,P_15_64,P_65_100,THC,HCRF,HCRM,PHC,PHCRF,PHCRM
19,Nuevo León,46,San Nicolás de los Garza,42,1,55,28,27,NaN,0,NaN,53,28,25,52,27,25,49,26,23,48,25,23,48,25,23,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,0,0,0,0,9,3,6,12,16,9,7,96.43,7,35,13,15,5,10,55,23,32
19,Nuevo León,46,San Nicolás de los Garza,42,2,38,18,20,NaN,NaN,0,37,17,20,36,17,19,35,17,18,32,16,16,32,16,16,NaN,0,NaN,NaN,0,NaN,3,NaN,NaN,3,NaN,NaN,0,0,0,3,0,3,6,13,8,5,111.11,6,23,9,15,4,11,38,9,29
19,Nuevo León,46,San Nicolás de los Garza,42,3,36,19,17,NaN,NaN,0,35,18,17,35,18,17,33,16,17,33,16,17,33,16,17,0,0,0,NaN,NaN,0,NaN,NaN,0,0,0,0,0,0,0,4,NaN,NaN,7,15,7,8,89.47,3,24,9,13,NaN,12,36,NaN,34
19,Nuevo León,46,San Nicolás de los Garza,42,4,38,21,17,NaN,NaN,0,37,20,17,36,20,16,27,16,11,23,14,9,22,13,9,3,NaN,NaN,7,3,4,9,4,5,4,NaN,NaN,NaN,NaN,0,NaN,NaN,0,8,8,6,NaN,80.95,15,16,7,7,3,4,38,16,22
19,Nuevo León,46,San Nicolás de los Garza,42,5,13,6,7,0,0,0,13,6,7,13,6,7,13,6,7,13,6,7,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,3,NaN,NaN,116.67,0,12,NaN,6,NaN,4,13,3,10
19,Nuevo León,46,San Nicolás de los Garza,42,6,55,26,29,0,0,0,55,26,29,54,25,29,51,22,29,51,22,29,51,22,29,NaN,NaN,0,3,3,0,3,3,0,0,0,0,0,0,0,12,7,5,14,12,5,7,111.54,4,44,7,16,5,11,55,20,35
19,Nuevo León,46,San Nicolás de los Garza,42,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,8,12,5,7,0,0,0,12,5,7,12,5,7,12,5,7,12,5,7,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,140,0,10,NaN,6,NaN,4,12,5,7
19,Nuevo León,46,San Nicolás de los Garza,42,9,7,3,4,0,0,0,7,3,4,7,3,4,7,3,4,7,3,4,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,NaN,133.33,0,NaN,5,3,NaN,NaN,7,4,3
19,Nuevo León,46,San Nicolás de los Garza,42,10,92,43,49,NaN,NaN,NaN,90,42,48,88,41,47,83,38,45,81,38,43,78,36,42,3,NaN,NaN,4,NaN,NaN,6,NaN,4,NaN,0,NaN,3,NaN,NaN,14,6,8,20,17,11,6,113.95,11,67,14,31,11,20,92,29,63
