CEF,NE,CM,NM,AGEB,CMZ,PT,PF,P_0_2,PF_0_2,P_3_MAS,PF_3_MAS,P_5_MAS,PF_5_MAS,P_12_MAS,PF_12_MAS,P_15_MAS,PF_15_MAS,P_18_MAS,PF_18_MAS,P_3_5,PF_3_5,P_6_11,PF_6_11,P_8_14,PF_8_14,P_12_14,PF_12_14,P_15_17,PF_15_17,P_18_24,PF_18_24,PF_15_49,P_60_MAS,PF_60_MAS,RMF,P_0_14,P_15_64,P_65_100,THC,HCRF,HCRM,PHC,PHCRF
19,Nuevo León,46,San Nicolás de los Garza,42,1,55,28,NaN,0,53,28,52,27,49,26,48,25,48,25,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,0,0,9,3,12,16,9,96.43,7,35,13,15,5,10,55,23
19,Nuevo León,46,San Nicolás de los Garza,42,2,38,18,NaN,NaN,37,17,36,17,35,17,32,16,32,16,NaN,0,NaN,0,3,NaN,3,NaN,0,0,3,0,6,13,8,111.11,6,23,9,15,4,11,38,9
19,Nuevo León,46,San Nicolás de los Garza,42,3,36,19,NaN,NaN,35,18,35,18,33,16,33,16,33,16,0,0,NaN,NaN,NaN,NaN,0,0,0,0,4,NaN,7,15,7,89.47,3,24,9,13,NaN,12,36,NaN
19,Nuevo León,46,San Nicolás de los Garza,42,4,38,21,NaN,NaN,37,20,36,20,27,16,23,14,22,13,3,NaN,7,3,9,4,4,NaN,NaN,NaN,NaN,NaN,8,8,6,80.95,15,16,7,7,3,4,38,16
19,Nuevo León,46,San Nicolás de los Garza,42,5,13,6,0,0,13,6,13,6,13,6,13,6,12,6,0,0,0,0,0,0,0,0,NaN,0,0,0,NaN,3,NaN,116.67,0,12,NaN,6,NaN,4,13,3
19,Nuevo León,46,San Nicolás de los Garza,42,6,55,26,0,0,55,26,54,25,51,22,51,22,51,22,NaN,NaN,3,3,3,3,0,0,0,0,12,7,14,12,5,111.54,4,44,7,16,5,11,55,20
19,Nuevo León,46,San Nicolás de los Garza,42,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,8,12,5,0,0,12,5,12,5,12,5,12,5,11,5,0,0,0,0,0,0,0,0,NaN,0,3,NaN,NaN,NaN,NaN,140,0,10,NaN,6,NaN,4,12,5
19,Nuevo León,46,San Nicolás de los Garza,42,9,7,3,0,0,7,3,7,3,7,3,7,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,133.33,0,NaN,5,3,NaN,NaN,7,4
19,Nuevo León,46,San Nicolás de los Garza,42,10,92,43,NaN,NaN,90,42,88,41,83,38,81,38,78,36,3,NaN,4,NaN,6,NaN,NaN,0,3,NaN,14,6,20,17,11,113.95,11,67,14,31,11,20,92,29
19,Nuevo León,46,San Nicolás de los Garza,42,11,106,57,4,NaN,101,55,98,54,89,50,84,48,79,45,4,NaN,8,4,10,4,5,NaN,5,3,13,7,27,17,12,85.96,21,69,15,25,11,14,106,45
19,Nuevo León,46,San Nicolás de los Garza,42,12,37,17,NaN,NaN,36,16,36,16,35,16,33,16,33,16,0,0,NaN,0,NaN,0,NaN,0,0,0,4,NaN,10,6,NaN,117.65,4,30,3,16,8,8,37,17
19,Nuevo León,46,San Nicolás de los Garza,42,13,38,17,NaN,NaN,37,16,37,16,34,14,32,13,31,12,0,0,3,NaN,4,NaN,NaN,NaN,NaN,NaN,5,NaN,7,7,3,123.53,6,25,7,14,NaN,12,38,5
19,Nuevo León,46,San Nicolás de los Garza,42,14,42,20,NaN,0,41,20,40,19,36,17,36,17,34,16,NaN,NaN,4,NaN,4,NaN,0,0,NaN,NaN,6,3,10,11,5,110,6,25,11,13,NaN,12,42,NaN
19,Nuevo León,46,San Nicolás de los Garza,42,15,29,14,0,0,29,14,29,14,28,14,28,14,26,13,0,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,5,7,5,107.14,NaN,27,NaN,10,4,6,29,8
19,Nuevo León,46,San Nicolás de los Garza,42,16,30,18,NaN,0,29,18,29,18,25,14,24,13,24,13,NaN,NaN,NaN,NaN,3,3,NaN,NaN,0,0,4,NaN,5,11,5,66.67,6,15,9,9,NaN,8,30,NaN
19,Nuevo León,46,San Nicolás de los Garza,42,17,66,35,NaN,0,65,35,64,34,61,32,60,31,58,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,4,12,15,9,88.57,6,49,11,23,11,12,66,36
19,Nuevo León,46,San Nicolás de los Garza,42,18,48,21,NaN,NaN,47,20,47,20,44,20,43,20,41,19,0,0,3,0,4,0,NaN,0,NaN,NaN,3,NaN,10,10,6,128.57,5,36,7,15,4,11,48,10
19,Nuevo León,46,San Nicolás de los Garza,42,19,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Nuevo León,46,San Nicolás de los Garza,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,24,53,29,0,0,53,29,52,28,52,28,52,28,49,26,NaN,NaN,0,0,0,0,0,0,3,NaN,7,4,11,15,10,82.76,NaN,38,14,19,10,9,53,25
19,Nuevo León,46,San Nicolás de los Garza,42,25,47,18,NaN,NaN,45,17,45,17,42,16,42,16,42,16,NaN,0,NaN,NaN,NaN,NaN,0,0,0,0,4,NaN,6,13,6,161.11,5,35,7,14,4,10,47,19
19,Nuevo León,46,San Nicolás de los Garza,42,26,38,25,NaN,0,36,25,36,25,34,23,32,21,31,20,0,0,NaN,NaN,4,4,NaN,NaN,NaN,NaN,5,4,10,9,6,52,6,24,8,11,5,6,38,12
19,Nuevo León,46,San Nicolás de los Garza,42,27,88,45,NaN,NaN,86,44,83,43,79,43,74,40,70,37,3,NaN,4,0,9,3,5,3,4,3,10,5,22,25,12,95.56,14,55,19,29,10,19,88,26
19,Nuevo León,46,San Nicolás de los Garza,42,28,61,29,NaN,NaN,59,28,59,28,57,27,56,27,55,26,0,0,NaN,NaN,3,NaN,NaN,0,NaN,NaN,8,4,14,19,10,110.34,5,45,11,22,6,16,61,20
19,Nuevo León,46,San Nicolás de los Garza,42,29,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Nuevo León,46,San Nicolás de los Garza,42,30,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
