"YMD","Point.Forecast","Lo.99","Hi.99"
"2022.365",1903134.74690442,1089291.57135461,2716977.92245423
"2022.385",2139840.45845479,1293321.93409001,2986358.98281957
"2022.404",1879902.45845479,1033383.93409001,2726420.98281957
"2022.423",1921753.45845479,1075234.93409001,2768271.98281957
"2022.442",1982881.45845479,1136362.93409001,2829399.98281957
"2022.462",2366126.45845479,1519607.93409001,3212644.98281956
"2022.481",2489743.45845479,1643224.93409001,3336261.98281957
"2022.500",2073319.45845479,1226800.93409001,2919837.98281957
"2022.519",1827529.45845479,981010.934090007,2674047.98281957
"2022.538",1847078.45845479,1000559.93409001,2693596.98281957
"2022.558",1944646.45845479,1098127.93409001,2791164.98281957
"2022.577",2091760.45845479,1245241.93409001,2938278.98281957
"2022.596",1955794.45845479,1109275.93409001,2802312.98281957
"2022.615",1977210.45845479,1130691.93409001,2823728.98281957
"2022.635",2189601.45845479,1343082.93409001,3036119.98281957
"2022.654",1809948.45845479,963429.934090007,2656466.98281957
"2022.673",1719217.55845479,872699.034090007,2565736.08281957
"2022.692",1799704.45845479,953185.934090007,2646222.98281957
"2022.712",1904846.55845479,1058328.03409001,2751365.08281957
"2022.731",2277959.45845479,1431440.93409001,3124477.98281957
"2022.750",1744325.45845479,897806.934090007,2590843.98281957
"2022.769",1814046.65845479,967528.134090008,2660565.18281957
"2022.788",1833704.45845479,987185.934090007,2680222.98281957
"2022.808",1881782.65845479,1035264.13409001,2728301.18281957
"2022.827",1805956.55845479,959438.034090007,2652475.08281957
