"","Point.Forecast","Lo.99","Hi.99"
"2022.365",45140454.5286211,39591826.1492366,50689082.9080056
"2022.385",45488741.9633833,39891228.9639748,51086254.9627918
"2022.404",47186133.2197666,41540158.8428691,52832107.5966641
"2022.423",49017589.1713074,43323565.8528954,54711612.4897193
"2022.442",46529898.9558442,40788228.7775202,52271569.1341682
"2022.462",47856106.8149551,42067181.930083,53645031.6998271
"2022.481",45530057.6019446,39694260.6376279,51365854.5662612
"2022.500",47377372.0947242,41495076.5313609,53259667.6580874
"2022.519",46798661.4281487,40870231.9581458,52727090.8981516
"2022.538",45658604.0549377,39684396.9220342,51632811.1878413
"2022.558",45983300.6486226,39963663.9691484,52002937.3280968
"2022.577",46005540.8446367,39940814.9119249,52070266.7773485
"2022.596",47960098.758631,41850616.3317029,54069581.1855591
"2022.615",46276391.8803348,40122478.4578873,52430305.3027823
"2022.635",46942461.2407168,40744435.3213603,53140487.1600734
"2022.654",46283104.165801,40041277.4954222,52524930.8361797
"2022.673",43667898.6792021,37382576.4862603,49953220.872144
"2022.692",45905065.2969078,39576546.5164092,52233584.0774064
"2022.712",43423670.524922,37052248.0117653,49795093.0380786
"2022.731",44571686.3994398,38157647.1317711,50985725.6671085
"2022.750",44055947.8139389,37599573.0871102,50512322.5407675
"2022.769",43764243.7280789,37265809.3397614,50262678.1163964
"2022.788",43605997.5709255,37065773.9978889,50146221.1439621
"2022.808",42190514.925655,35608767.4926901,48772262.3586199
"2022.827",42014428.5389778,35391417.580405,48637439.4975506
